source_file,source_folder,label,window_index,start_index,end_index,rpm,signal_mean,signal_std,signal_min,signal_max,signal_range,signal_rms,signal_energy,signal_abs_mean,signal_peak_abs,signal_crest_factor,signal_skew_like,signal_kurtosis_like
100.mat,normal,normal,0,0,1024,1725.0,0.011094915865384615,0.06903398972514373,-0.20944984615384615,0.22530461538461538,0.43475446153846153,0.06991987482419583,5.0061198289215625,0.056402347355769225,0.22530461538461538,3.222325782874917,-0.007630055148308015,2.783134619996239
100.mat,normal,normal,1,512,1536,1725.0,0.013230371394230767,0.0682116207334956,-0.20944984615384615,0.2154996923076923,0.4249495384615385,0.06948286069470316,4.9437367606471945,0.05588406850961539,0.2154996923076923,3.101479849130893,-0.12593384298405824,2.9183396539295146
100.mat,normal,normal,2,1024,2048,1725.0,0.013967044471153845,0.06366436295338845,-0.19672430769230767,0.21341353846153846,0.41013784615384613,0.06517844307376458,4.350186948116449,0.05257881850961539,0.21341353846153846,3.2742963531168896,-0.15080012939375836,3.0159829444751596
100.mat,normal,normal,3,1536,2560,1725.0,0.012292009615384614,0.0630201969474178,-0.19651569230769228,0.21341353846153846,0.4099292307692307,0.06420777775064354,4.22158205304426,0.05226752524038461,0.21341353846153846,3.323795744606278,-0.12355302773312282,2.788739768582201
100.mat,normal,normal,4,2048,3072,1725.0,0.012876091947115385,0.06411855246641174,-0.18545907692307692,0.22196676923076922,0.40742584615384614,0.06539864306098839,4.37963009455981,0.05280026862980769,0.22196676923076922,3.39405771799236,-0.12015551550755726,2.8550401348288412
100.mat,normal,normal,5,2560,3584,1725.0,0.011957899038461539,0.06443664182523728,-0.19067446153846154,0.22196676923076922,0.41264123076923076,0.0655368000372917,4.398153890947029,0.05243661778846154,0.22196676923076922,3.386902764570118,-0.11078825913905589,2.9553589584992594
100.mat,normal,normal,6,3072,4096,1725.0,0.011879260817307693,0.06487430394783009,-0.19067446153846154,0.17315076923076922,0.3638252307692308,0.06595295406788891,4.454187161887811,0.052907632211538456,0.19067446153846154,2.891067795679008,-0.13881651066128897,2.8243533151022486
100.mat,normal,normal,7,3584,4608,1725.0,0.01324198377403846,0.06315854031619131,-0.17982646153846152,0.1733593846153846,0.35318584615384613,0.06453178557225782,4.264295781523314,0.051969066706730765,0.17982646153846152,2.7866339036027257,-0.19180157509593954,2.8669489831929793
100.mat,normal,normal,8,4096,5120,1725.0,0.013547776442307691,0.05978771947635241,-0.17252492307692308,0.1733593846153846,0.3458843076923077,0.06130345542229865,3.848308374234888,0.049185151442307694,0.1733593846153846,2.8278892832115727,-0.1858066191717263,2.9711700950448052
100.mat,normal,normal,9,4608,5632,1725.0,0.013716665264423077,0.06176052149127896,-0.16188553846153847,0.17565415384615385,0.3375396923076923,0.06326538485499761,4.098569134951385,0.05063832872596154,0.17565415384615385,2.7764654280689434,0.03211711800812324,2.7921737259547106
100.mat,normal,normal,10,5120,6144,1725.0,0.013020533653846153,0.06480603470272848,-0.16188553846153847,0.18128676923076922,0.34317230769230767,0.06610110763460919,4.474220984854721,0.053152510817307694,0.18128676923076922,2.7425677982604424,0.07446986453039468,2.6486190667480267
100.mat,normal,normal,11,5632,6656,1725.0,0.00963746033653846,0.0606076893644848,-0.20944984615384615,0.18128676923076922,0.39073661538461535,0.06136915065275253,3.856560795484402,0.049465070913461535,0.20944984615384615,3.412950055893253,-0.13278970655563427,2.9378473921029196
100.mat,normal,normal,12,6144,7168,1725.0,0.011042965745192306,0.058826548460074006,-0.20944984615384615,0.16230276923076925,0.3717526153846154,0.05985407167582608,3.668490133683124,0.04846212800480769,0.20944984615384615,3.499341653559379,-0.32276828658161577,3.074384695438197
100.mat,normal,normal,13,6656,7680,1725.0,0.01271474098557692,0.06591514448752525,-0.19004861538461537,0.19463815384615382,0.38468676923076917,0.06713025332248972,4.614626213009041,0.05420964483173077,0.19463815384615382,2.899410388163208,-0.1258824032472649,2.7855640047771693
